ticker,name,sector,market,status,delist_reason,total_ret,cagr,mdd,ann_vol,best_year,worst_year,med_daily_value,pattern,artifact_tier,artifact_suspect,n_over_limit,n_intmult,jump_zero_vol,zero_vol_pct,max_flat_run,last_vs_peak_pct,final_30d_pct,n_days,first_date,last_date
237750,피앤씨테크,28123,,survivor,,-0.6059,-0.0935,-0.8101,0.4746,2021:20%,2019:-34%,210327741.6040039,decline,clean,False,0,0,0,0.004,3,,,2324,2016-07-05,2025-12-30
237820,플레이디,71310,,survivor,,-0.4537,-0.099,-0.7544,0.6615,2023:27%,2022:-33%,271897638.9995117,sideways,clean,False,0,0,0,0.005,2,,,1422,2020-03-12,2025-12-30
237880,클리오,20423,,survivor,,-0.6034,-0.0963,-0.7529,0.4908,2023:93%,2018:-61%,1672964287.7685547,decline,clean,False,0,0,0,0.004,2,,,2238,2016-11-09,2025-12-30
238090,앤디포스,222,,survivor,,-0.868,-0.1973,-0.9361,0.6186,2018:86%,2022:-49%,629378430.0,decline,clean,False,0,0,0,0.031,30,,,2258,2016-10-12,2025-12-30
238120,얼라인드,273,,survivor,,-0.2749,-0.0345,-0.6679,0.5807,2020:46%,2017:-27%,142748325.0,sideways,clean,False,0,0,0,0.004,4,,,2242,2016-11-03,2025-12-30
238200,비피도,108,,survivor,,-0.8321,-0.2247,-0.8727,0.4711,2025:4%,2024:-45%,243775840.0,decline,clean,False,0,0,0,0.041,63,,,1719,2018-12-26,2025-12-30
238490,힘스,29272,,survivor,,-0.777,-0.1628,-0.8249,0.5129,2019:189%,2018:-60%,423632440.0,decline,clean,False,0,0,0,0.007,4,,,2065,2017-07-21,2025-12-30
239340,이스트에이드,631,,survivor,,-0.1855,-0.0212,-0.8818,0.6444,2019:120%,2024:-40%,454108915.0,spike,clean,False,0,0,0,0.067,96,,,2342,2016-06-09,2025-12-30
239610,에이치엘사이언스,108,,survivor,,-0.7684,-0.1474,-0.9258,0.5365,2018:31%,2022:-48%,348655806.83984375,decline,clean,False,0,0,0,0.004,2,,,2246,2016-10-28,2025-12-30
239890,피엔에이치테크,20119,,survivor,,0.1794,0.0198,-0.8624,0.536,2021:120%,2024:-68%,213978920.97265625,spike,clean,False,0,0,0,0.307,72,,,2061,2017-07-27,2025-12-30
240600,유진테크놀로지,259,,survivor,,-0.82,-0.5479,-0.8282,0.6759,2025:-19%,2024:-62%,306990870.0,decline,clean,False,0,0,0,0.0,1,,,525,2023-11-02,2025-12-30
240810,원익IPS,292,KOSDAQ,survivor,,3.2508,0.1616,-0.6346,0.4659,2025:205%,2022:-41%,8909446177.585938,spike,clean,False,0,0,0,0.005,3,,,2367,2016-05-02,2025-12-30
241520,DSC인베스트먼트,64209,,survivor,,2.3499,0.1434,-0.8454,0.6109,2025:152%,2022:-43%,928725523.6052246,spike,clean,False,0,0,0,0.006,3,,,2208,2016-12-21,2025-12-30
241560,두산밥캣,29241,KOSPI,survivor,,1.0275,0.0807,-0.6436,0.4108,2023:48%,2020:-14%,8410054852.458984,sideways,clean,False,0,0,0,0.004,2,,,2229,2016-11-22,2025-12-30
241590,화승엔터프라이즈,15219,,survivor,,-0.314,-0.04,-0.7784,0.4815,2019:60%,2022:-45%,2051179904.2163086,sideways,clean,False,0,0,0,0.005,3,,,2264,2016-10-04,2025-12-30
