ticker,name,reason,sub_reason,capital_impair,loss_years,impair_first_year,last_year,last_vs_peak_pct,final_30d_pct,last_date
018410,현대금속,부실상폐,소형·재무자료없음,재무없음,,,2010,2.7,-94.8,2010-05-12
018890,브이오산업,부실상폐,소형·재무자료없음,재무없음,,,2010,12.2,-80.4,2010-07-21
019120,경윤하이드로에너지,부실상폐,소형·재무자료없음,재무없음,,,2011,1.7,-91.5,2011-04-05
019260,셀텍,부실상폐,소형·재무자료없음,재무없음,,,2012,1.5,-94.2,2012-09-04
019300,태림페이퍼,자진상폐,자진상폐,정상,1.0,,2016,28.1,-32.1,2016-08-10
019430,위더스기술금융,부실상폐,소형·재무자료없음,재무없음,,,2011,3.9,-88.9,2011-04-28
019440,세아특수강,피인수상폐,피인수상폐,정상,1.0,,2026,100.0,15.1,2026-02-11
019590,에스유앤피,부실상폐,부분자본잠식,부분자본잠식,2.0,2023.0,2025,13.9,-86.1,2025-09-05
020070,에버리소스,부실상폐,소형·재무자료없음,재무없음,,,2010,7.7,-85.7,2010-04-30
021060,한림창업투자,부실상폐,소형·재무자료없음,재무없음,,,2012,4.4,-92.1,2012-06-26
021960,케이비캐피탈,피인수상폐,피인수상폐,재무없음,,,2017,100.0,4.1,2017-07-20
022520,코오롱아이넷,자진상폐,자진상폐,재무없음,,,2012,53.0,-2.8,2012-01-10
023020,동양매직,자진상폐,자진상폐,재무없음,,,2011,71.6,14.1,2011-09-09
023430,아이이,부실상폐,적자지속,정상,2.0,,2017,1.5,-96.7,2017-12-19
023460,씨앤에이치,부실상폐,완전자본잠식,완전자본잠식,3.0,2023.0,2025,0.4,-91.7,2025-07-11
023670,알이네트웍스,부실상폐,소형·재무자료없음,재무없음,,,2010,3.1,-94.6,2010-06-16
023890,한국아트라스비엑스,피인수상폐,피인수상폐,정상,0.0,,2021,82.7,10.1,2021-04-16
024100,제일저축은행,부실상폐,소형·재무자료없음,재무없음,,,2011,0.6,-98.6,2011-10-13
024660,하림홀딩스,피인수상폐,피인수상폐,정상,0.0,,2018,80.9,-6.5,2018-07-13
024810,이화전기공업,자진상폐,자진상폐,정상,3.0,,2025,44.5,-55.5,2025-09-09
024870,유성티에스아이,부실상폐,소형·재무자료없음,재무없음,,,2010,3.8,-92.6,2010-04-30
025270,부산방직공업,자진상폐,자진상폐,정상,1.0,,2016,70.8,10.6,2016-08-17
025340,그린기술투자,부실상폐,소형·재무자료없음,재무없음,,,2011,9.3,-90.0,2011-12-27
025610,한국저축은행,부실상폐,소형·재무자료없음,재무없음,,,2012,0.1,-99.6,2012-07-24
025850,한화화인케미칼,자진상폐,자진상폐,재무없음,,,2016,39.5,-3.9,2016-03-14
025920,우경,부실상폐,소형·재무자료없음,재무없음,,,2013,1.8,-95.8,2013-07-09
025970,알덱스,자진상폐,자진상폐,재무없음,,,2011,27.0,-9.8,2011-12-19
026180,현대정보기술,자진상폐,자진상폐,부분자본잠식,1.0,2017.0,2019,73.2,-4.6,2019-07-16
026220,에스티씨라이프,부실상폐,소형·재무자료없음,재무없음,,,2011,1.0,-98.0,2011-11-28
026250,삼우이엠씨,부실상폐,소형·재무자료없음,재무없음,,,2013,0.6,-97.7,2013-04-11
026260,위너지스,부실상폐,부분자본잠식,부분자본잠식,3.0,2016.0,2018,0.9,-98.3,2018-10-10
026540,제일창업투자,부실상폐,소형·재무자료없음,재무없음,,,2011,10.0,-45.2,2011-10-13
026870,코원에너지서비스,피인수상폐,피인수상폐,재무없음,,,2012,100.0,0.0,2012-11-14
027390,한화갤러리아타임월드,자진상폐,자진상폐,정상,2.0,,2020,55.1,0.0,2020-04-14
027840,한국고덴시,피인수상폐,피인수상폐,재무없음,,,2010,100.0,28.4,2010-07-13
028040,미래SCI,부실상폐,부분자본잠식,부분자본잠식,3.0,2019.0,2021,2.2,-97.8,2021-04-12
028090,네오퍼플,부실상폐,소형·재무자료없음,재무없음,,,2013,1.5,-88.2,2013-05-02
028150,지에스홈쇼핑,피인수상폐,피인수상폐,정상,0.0,,2021,97.7,-0.6,2021-07-15
029960,코엔텍,피인수상폐,피인수상폐,정상,0.0,,2025,98.7,0.3,2025-06-13
030030,중앙디자인,부실상폐,소형·재무자료없음,재무없음,,,2011,0.5,-96.4,2011-04-12
030270,에스마크,부실상폐,부분자본잠식,부분자본잠식,3.0,2017.0,2020,4.3,-95.7,2020-05-20
030390,쏠라엔텍,부실상폐,소형·재무자료없음,재무없음,,,2010,4.7,-89.1,2010-05-07
030420,디패션,부실상폐,소형·재무자료없음,재무없음,,,2011,2.3,-88.4,2011-05-06
030790,비케이탑스,부실상폐,부분자본잠식,부분자본잠식,3.0,2019.0,2024,0.9,-99.1,2024-05-10
031390,녹십자셀,자진상폐,자진상폐,정상,0.0,,2021,63.9,1.0,2021-11-16
031920,조은저축은행,부실상폐,소형·재무자료없음,재무없음,,,2013,4.6,-73.9,2013-02-26
031950,에듀패스,부실상폐,소형·재무자료없음,재무없음,,,2011,3.7,-90.9,2011-06-08
031960,동산진흥,부실상폐,소형·재무자료없음,재무없음,,,2010,6.8,-93.2,2010-02-19
031990,대선조선,부실상폐,소형·재무자료없음,재무없음,,,2011,14.3,-69.1,2011-04-12
032030,일공공일안경콘택트,부실상폐,소형·재무자료없음,재무없음,,,2010,1.0,-98.6,2010-04-12
032040,씨앤에스자산관리,부실상폐,부분자본잠식,부분자본잠식,2.0,2017.0,2018,10.8,-89.2,2018-10-10
032290,케이디지엠텍,부실상폐,소형·재무자료없음,재무없음,,,2011,1.0,-97.2,2011-04-22
032380,핸디소프트,부실상폐,소형·재무자료없음,재무없음,,,2011,3.2,-93.6,2011-03-02
032420,터보테크,부실상폐,소형·재무자료없음,재무없음,,,2015,0.8,-93.4,2015-01-26
032930,에이스앤파트너스,자진상폐,자진상폐,재무없음,,,2012,46.0,-1.4,2012-01-17
033030,지오엠씨,부실상폐,소형·재무자료없음,재무없음,,,2010,3.7,-96.3,2010-09-24
033110,코너스톤네트웍스,부실상폐,부분자본잠식,부분자본잠식,3.0,2017.0,2021,1.5,-98.5,2021-10-07
033180,케이에이치필룩스,부실상폐,적자지속,정상,3.0,,2026,6.0,-94.0,2026-01-14
033190,폴켐,부실상폐,소형·재무자료없음,재무없음,,,2010,1.1,-96.6,2010-04-22
033260,쌈지,부실상폐,소형·재무자료없음,재무없음,,,2010,2.1,-96.0,2010-04-16
033280,어울림엘시스,부실상폐,소형·재무자료없음,재무없음,,,2012,0.9,-99.1,2012-09-10
033430,디에스티,자진상폐,자진상폐,부분자본잠식,2.0,2017.0,2021,32.4,-67.6,2021-09-01
033550,일레덱스홀딩스,부실상폐,소형·재무자료없음,재무없음,,,2013,3.7,-93.1,2013-05-06
033600,럭슬,부실상폐,적자지속,정상,3.0,,2021,11.7,-88.3,2021-08-10
033630,에스케이브로드밴드,자진상폐,자진상폐,정상,0.0,,2015,74.9,-5.2,2015-06-30
033660,우리금융캐피탈,피인수상폐,피인수상폐,재무없음,,,2021,85.2,-2.5,2021-08-26
033850,지노시스템,부실상폐,소형·재무자료없음,재무없음,,,2011,1.8,-93.1,2011-05-06
034010,트라이써클,부실상폐,소형·재무자료없음,재무없음,,,2013,0.6,-96.2,2013-02-20
034300,신세계건설,피인수상폐,피인수상폐,정상,2.0,,2025,99.7,0.3,2025-02-21
034510,무한투자,부실상폐,소형·재무자료없음,재무없음,,,2012,3.9,-91.2,2012-09-24
034600,글로웍스,부실상폐,소형·재무자료없음,재무없음,,,2011,2.0,-43.9,2011-06-28
034660,제넥셀세인,부실상폐,소형·재무자료없음,재무없음,,,2010,0.8,-97.7,2010-04-14
035210,티브로드도봉강북방송,피인수상폐,피인수상폐,재무없음,,,2012,100.0,0.0,2012-10-31
035400,쓰리디넷,부실상폐,소형·재무자료없음,재무없음,,,2010,2.4,-78.6,2010-09-30
035450,지아이바이오,부실상폐,소형·재무자료없음,재무없음,,,2013,2.5,-91.9,2013-08-06
035480,글로앤웰,부실상폐,적자지속,정상,3.0,,2019,3.4,-96.6,2019-12-11
035710,씨엘엘씨디,부실상폐,소형·재무자료없음,재무없음,,,2010,1.6,-97.1,2010-04-30
035830,메카포럼,부실상폐,소형·재무자료없음,재무없음,,,2010,1.9,-95.8,2010-07-15
036180,지더블유바이텍,부실상폐,부분자본잠식,부분자본잠식,3.0,2019.0,2026,0.3,-99.7,2026-03-16
036210,태산엘시디,부실상폐,소형·재무자료없음,재무없음,,,2014,0.1,-99.6,2014-04-10
036260,이매진아시아,부실상폐,완전자본잠식,완전자본잠식,3.0,2019.0,2021,0.7,-99.3,2021-02-10
