ticker,name,sector,market,status,delist_reason,total_ret,cagr,mdd,ann_vol,best_year,worst_year,med_daily_value,pattern,artifact_tier,artifact_suspect,n_over_limit,n_intmult,jump_zero_vol,zero_vol_pct,max_flat_run,last_vs_peak_pct,final_30d_pct,n_days,first_date,last_date
080010,이상네트웍스,4610.0,,survivor,,2.5246,0.1108,-0.6459,0.3814,2015:105%,2022:-16%,102230546.14990234,spike,clean,False,0,0,0,0.005,3,,,2941,2014-01-02,2025-12-30
009450,경동나비엔,28520.0,,survivor,,2.5199,0.1106,-0.616,0.4202,2024:87%,2022:-38%,2208538523.8125,sideways,clean,False,0,0,0,0.006,3,,,2941,2014-01-02,2025-12-30
005389,현대차3우B,,,survivor,,2.5065,0.1103,-0.6677,0.2593,2023:59%,2018:-18%,345458867.3046875,sideways,clean,False,0,0,0,0.006,4,,,2941,2014-01-02,2025-12-30
010470,오리콤,71310.0,,survivor,,2.5001,0.1101,-0.7907,0.5784,2015:170%,2016:-35%,187076999.35546875,spike,clean,False,0,0,0,0.007,3,,,2941,2014-01-02,2025-12-30
011070,LG이노텍,262.0,KOSPI,survivor,,2.4904,0.1099,-0.6917,0.4396,2021:101%,2018:-40%,24947062379.96875,spike,clean,False,0,0,0,0.004,2,,,2941,2014-01-02,2025-12-30
078070,유비쿼스홀딩스,64992.0,,survivor,,2.4786,0.1096,-0.8026,0.4246,2019:154%,2021:-38%,431468761.5820313,spike,clean,False,0,0,0,0.013,23,,,2941,2014-01-02,2025-12-30
005850,에스엘,303.0,,survivor,,2.4694,0.1093,-0.6721,0.4334,2021:95%,2022:-25%,1939682259.3339844,sideways,clean,False,0,0,0,0.017,32,,,2941,2014-01-02,2025-12-30
104700,한국철강,2411.0,,survivor,,2.4665,0.1092,-0.7526,0.3279,2020:43%,2018:-24%,288151210.828125,sideways,clean,False,0,0,0,0.007,3,,,2941,2014-01-02,2025-12-30
012030,DB,62021.0,,survivor,,2.456,0.109,-0.634,0.4627,2023:116%,2024:-25%,445164308.0,spike,clean,False,0,0,0,0.009,13,,,2941,2014-01-02,2025-12-30
094800,맵스리얼티,642.0,,survivor,,2.4361,0.1084,-0.3607,0.1469,2019:50%,2015:-10%,108382354.83880617,steady_grower,clean,False,0,0,0,0.009,6,,,2942,2014-01-02,2025-12-30
145020,휴젤,211.0,,survivor,,2.4293,0.1309,-0.6256,0.5009,2024:88%,2018:-32%,9911684553.3125,sideways,clean,False,0,0,0,0.004,2,,,2451,2015-12-24,2025-12-30
021080,에이티넘인베스트,64209.0,,survivor,,2.4242,0.1081,-0.8509,0.5974,2021:113%,2022:-48%,823388865.2304688,spike,clean,False,0,0,0,0.006,3,,,2941,2014-01-02,2025-12-30
023590,다우기술,631.0,,survivor,,2.4052,0.1076,-0.6248,0.4004,2025:133%,2016:-16%,1850367298.3867188,spike,clean,False,0,0,0,0.006,3,,,2941,2014-01-02,2025-12-30
037760,쎄니트,24122.0,,survivor,,2.3631,0.1064,-0.6558,0.4627,2015:85%,2017:-37%,143780770.91992188,sideways,clean,False,0,0,0,0.005,4,,,2941,2014-01-02,2025-12-30
009970,영원무역홀딩스,64992.0,,survivor,,2.3596,0.1063,-0.7509,0.324,2025:142%,2015:-23%,418272515.1171875,spike,clean,False,0,0,0,0.005,3,,,2941,2014-01-02,2025-12-30
003960,사조대림,10211.0,,survivor,,2.3556,0.1062,-0.712,0.4491,2021:57%,2019:-33%,375393337.578125,sideways,clean,False,0,0,0,0.005,3,,,2941,2014-01-02,2025-12-30
002030,아세아,715.0,,survivor,,2.3546,0.1062,-0.6026,0.2999,2023:47%,2015:-30%,281907656.625,sideways,clean,False,0,0,0,0.005,3,,,2941,2014-01-02,2025-12-30
179900,유티아이,2629.0,,survivor,,2.3518,0.1578,-0.7342,0.6168,2019:228%,2024:-28%,1476458143.4777832,spike,clean,False,0,0,0,0.004,3,,,2018,2017-09-28,2025-12-30
130580,나이스디앤비,75993.0,,survivor,,2.3505,0.1061,-0.6148,0.3426,2015:82%,2024:-23%,79231383.51171875,sideways,clean,False,0,0,0,0.005,3,,,2941,2014-01-02,2025-12-30
241520,DSC인베스트먼트,64209.0,,survivor,,2.3499,0.1434,-0.8454,0.6109,2025:152%,2022:-43%,928725523.6052246,spike,clean,False,0,0,0,0.006,3,,,2208,2016-12-21,2025-12-30
005430,한국공항,52939.0,,survivor,,2.3494,0.1061,-0.6306,0.3604,2016:48%,2015:-28%,252713283.22265625,sideways,clean,False,0,0,0,0.006,3,,,2941,2014-01-02,2025-12-30
218410,RFHIC,264.0,KOSDAQ,survivor,,2.3485,0.122,-0.7723,0.4656,2025:152%,2022:-37%,3411224298.4570312,spike,clean,False,0,0,0,0.083,79,,,2575,2015-06-30,2025-12-30
000325,노루홀딩스우,,,survivor,,2.3406,0.1058,-0.8443,0.6559,2021:114%,2022:-40%,12361793.283203123,spike,clean,False,0,0,0,0.018,4,,,2941,2014-01-02,2025-12-30
000270,기아,30121.0,KOSPI,survivor,,2.3355,0.1057,-0.6008,0.3199,2023:69%,2022:-24%,46804297511.64844,sideways,clean,False,0,0,0,0.006,3,,,2941,2014-01-02,2025-12-30
014820,동원시스템즈,222.0,,survivor,,2.3295,0.1055,-0.8945,0.4652,2015:268%,2018:-41%,938322315.3125,spike,clean,False,0,0,0,0.005,4,,,2941,2014-01-02,2025-12-30
030610,교보증권,66121.0,,survivor,,2.3292,0.1055,-0.638,0.315,2025:84%,2022:-35%,404082987.2607422,sideways,clean,False,0,0,0,0.005,3,,,2941,2014-01-02,2025-12-30
002230,피에스텍,27214.0,,survivor,,2.3127,0.105,-0.7509,0.3696,2025:162%,2016:-23%,150064105.10253906,spike,clean,False,0,0,0,0.005,4,,,2941,2014-01-02,2025-12-30
067900,와이엔텍,38220.0,,survivor,,2.3067,0.1049,-0.678,0.393,2019:133%,2021:-22%,485494811.11376953,spike,clean,False,0,0,0,0.006,3,,,2941,2014-01-02,2025-12-30
168360,펨트론,292.0,,survivor,,2.2769,0.4666,-0.746,0.7844,2023:222%,2024:-42%,3043798042.6811523,spike,clean,False,0,0,0,0.0,1,,,756,2022-11-24,2025-12-30
049630,재영솔루텍,27309.0,,survivor,,2.2705,0.1039,-0.8595,0.6397,2025:579%,2022:-56%,454168480.0,spike,clean,False,0,0,0,0.006,4,,,2941,2014-01-02,2025-12-30
019170,신풍제약,212.0,,survivor,,2.2697,0.1038,-0.9664,0.714,2020:1614%,2021:-74%,2909585999.63916,spike,clean,False,0,0,0,0.007,3,,,2941,2014-01-02,2025-12-30
174900,앱클론,213.0,KOSDAQ,survivor,,2.2692,0.1538,-0.8446,0.7423,2025:201%,2021:-52%,2874778950.0,spike,clean,False,0,0,0,0.002,2,,,2025,2017-09-18,2025-12-30
005385,현대차우,,,survivor,,2.2626,0.1036,-0.6888,0.2977,2023:58%,2018:-21%,2961962832.5429688,sideways,clean,False,0,0,0,0.005,3,,,2941,2014-01-02,2025-12-30
033780,KT&G,12000.0,KOSPI,survivor,,2.2528,0.1034,-0.4588,0.2355,2015:42%,2018:-9%,20230169120.992188,steady_grower,clean,False,0,0,0,0.006,3,,,2941,2014-01-02,2025-12-30
041510,에스엠,59201.0,,survivor,,2.2497,0.1033,-0.7023,0.4719,2021:150%,2016:-40%,12262155375.5625,spike,clean,False,0,0,0,0.005,2,,,2941,2014-01-02,2025-12-30
002900,TYM,29210.0,,survivor,,2.2459,0.1032,-0.8355,0.5739,2016:206%,2017:-57%,1402564844.7070312,spike,clean,False,0,0,0,0.014,15,,,2941,2014-01-02,2025-12-30
403870,HPSP,29271.0,KOSDAQ,survivor,,2.242,0.4048,-0.6501,0.6288,2023:229%,2024:-39%,23301909130.5,spike,clean,False,0,0,0,0.0,1,,,845,2022-07-15,2025-12-30
039240,경남스틸,24199.0,,survivor,,2.2401,0.103,-0.7559,0.5113,2021:158%,2025:-37%,175596300.92797852,spike,clean,False,0,0,0,0.009,12,,,2941,2014-01-02,2025-12-30
067080,대화제약,212.0,,survivor,,2.2386,0.103,-0.8807,0.6226,2015:429%,2021:-39%,1733280261.78125,spike,clean,False,0,0,0,0.005,3,,,2941,2014-01-02,2025-12-30
322000,HD현대에너지솔루션,2612.0,KOSPI,survivor,,2.2168,0.2106,-0.7756,0.6767,2025:171%,2021:-46%,3772918800.0,sideways,clean,False,0,0,0,0.007,2,,,1499,2019-11-19,2025-12-30
001430,세아베스틸지주,2411.0,KOSPI,survivor,,2.213,0.1022,-0.8626,0.4508,2025:170%,2018:-36%,1374722693.90625,spike,clean,False,0,0,0,0.006,3,,,2941,2014-01-02,2025-12-30
091580,상신이디피,28202.0,,survivor,,2.2078,0.1021,-0.7922,0.5234,2017:99%,2024:-52%,1292146141.1796875,sideways,clean,False,0,0,0,0.004,2,,,2941,2014-01-02,2025-12-30
081660,미스토홀딩스,464.0,,survivor,,2.2056,0.102,-0.7717,0.3763,2018:228%,2016:-25%,4730515618.921875,spike,clean,False,0,0,0,0.007,3,,,2941,2014-01-02,2025-12-30
115310,인포바인,61299.0,,survivor,,2.2045,0.102,-0.544,0.3801,2025:207%,2018:-16%,74146831.97753906,spike,clean,False,0,0,0,0.006,4,,,2941,2014-01-02,2025-12-30
388720,유일로보틱스,292.0,,survivor,,2.2,0.3596,-0.4883,0.7118,2025:183%,2024:11%,4219122800.0,spike,clean,False,0,0,0,0.002,2,,,926,2022-03-18,2025-12-30
213420,덕산네오룩스,262.0,,survivor,,2.1947,0.1135,-0.6924,0.5142,2019:85%,2018:-42%,4489295350.0,sideways,clean,False,0,0,0,0.005,2,,,2649,2015-03-13,2025-12-30
006260,LS,64992.0,KOSPI,survivor,,2.1907,0.1016,-0.7168,0.4288,2025:115%,2018:-30%,6514753326.554688,spike,clean,False,0,0,0,0.007,3,,,2941,2014-01-02,2025-12-30
101170,우림피티에스,29142.0,,survivor,,2.1889,0.1015,-0.8417,0.5836,2025:266%,2017:-51%,351137802.0253906,spike,clean,False,0,0,0,0.005,3,,,2941,2014-01-02,2025-12-30
178320,서진시스템,289.0,KOSDAQ,survivor,,2.1855,0.1414,-0.5144,0.4811,2020:76%,2022:-19%,7172963280.0,sideways,clean,False,0,0,0,0.008,4,,,2143,2017-03-28,2025-12-30
078935,GS우,,,survivor,,2.1654,0.1009,-0.3938,0.1835,2025:40%,2020:-13%,84400789.484375,steady_grower,clean,False,0,0,0,0.006,5,,,2941,2014-01-02,2025-12-30
020150,롯데에너지머티리얼즈,2629.0,,survivor,,2.1548,0.1005,-0.8568,0.5084,2017:187%,2022:-61%,10722490054.50293,spike,clean,False,0,0,0,0.004,3,,,2941,2014-01-02,2025-12-30
002720,국제약품,212.0,,survivor,,2.1477,0.1003,-0.7197,0.6288,2020:118%,2021:-36%,698158785.7940674,spike,clean,False,0,0,0,0.005,3,,,2941,2014-01-02,2025-12-30
348210,넥스틴,29271.0,,survivor,,2.1421,0.2449,-0.5378,0.4714,2025:42%,2024:-26%,3794135387.800781,sideways,clean,False,0,0,0,0.009,2,,,1280,2020-10-08,2025-12-30
008370,원풍,22212.0,,survivor,,2.1355,0.1,-0.5011,0.3693,2015:40%,2017:-12%,64860190.48461914,sideways,clean,False,0,0,0,0.005,4,,,2941,2014-01-02,2025-12-30
003720,삼영,2221.0,,survivor,,2.1334,0.0999,-0.717,0.4748,2020:160%,2017:-27%,308919781.2663574,spike,clean,False,0,0,0,0.004,4,,,2941,2014-01-02,2025-12-30
